question,cluster,label,label_int
berapa perangkat untuk 0ds?,1,information,0.0
berapa perangkat untuk 1ds?,1,information,0.0
berapa perangkat untuk 2ds?,1,information,0.0
berapa perangkat untuk 3ds?,1,information,0.0
berapa perangkat untuk 0dw?,1,information,0.0
berapa perangkat untuk 1dw?,1,information,0.0
berapa perangkat untuk 2dw?,1,information,0.0
berapa perangkat untuk 3dw?,1,information,0.0
berapa perangkat untuk 1dn?,1,information,0.0
paket 1dn untuk area mana?,-1,,
paket 1ds untuk area mana?,-1,,
harga net dari layanan 3D gamers berapa?,-1,information,0.0
Layanan yang di sarankan untuk menggunakan CCTV,0,information,0.0
Layanan Biznet Home yang di rekomendasikan untuk main game,-1,,
"internet lambat sekali, ada saran mengatasinya?",-1,problem,2.0
keunggulan layanan 0D apa aja ya,-1,information,0.0
apakah layanan biznet home 0D dapat digunakan untuk CCTV?,0,information,0.0
"internet saya lampu los berkedip, itu kenapa ya?",0,information,0.0
jika internet putus nyambung itu kenapa ya?,0,information,0.0
"saya dan tetangga saya internetnya biznetnya mati, itu kenapa ya?",0,information,0.0
ada promo apa saja pada bulan desember ini?,0,information,0.0
"kalo saya mau promo 3+1 layanan 0D, kena berapa tagihannya?",-1,information,0.0
bisa tidak pengajuan IPTV untuk layanan 0D?,0,information,0.0
layanan apa ya kalo saya mau pasang IPTV yang cocok?,0,information,0.0
"saya mau pasang IPTV dong, gimana caranya?",0,information,0.0
"kalo layanan saya 1D dan ingin menggunakan IPTV, tagihannya di kenakan berapa?",0,information,0.0
Untuk STB IPTV free atau dikenakan biaya?,0,information,0.0
"layanan 3D tidak dapat buka game ps4 online, itu kenapa?",-1,,
jika kita tidak dapat akses website game steam dengan menggunakan layanan 3D itu kenapa ya?,-1,,
"Saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?",-1,,
"layanan saya biznet 3D, saya mau main dota 2, sudah berhasil masuk ke steam, tapi saya tidak dapat akses dota 2, kenapa ya?",-1,,
Internet saya down sejak semalam bisa di bantu?,-1,problem,2.0
tanggal berapa biasanya akan terdebet untuk kartu kredit?,-1,information,0.0
tanggal berapa biasanya akan terdebet untuk payment via kartu kredit?,-1,information,0.0
Internet saya down bisa di cek,-1,problem,2.0
di area gunung putri sudah ada jaringan belum?,-1,,
Halo internet saya down,-1,problem,2.0
Internet saya down,-1,problem,2.0
Cara rubah paket gimana,0,information,0.0
Halo internet saya down bisa di cek?,-1,problem,2.0
harga Biznet Home 1D berapa ya?,0,information,0.0
Harga Biznet Home 1D berapa?,0,information,0.0
bisa di bantu informasikan menu quota tambahan biznet home?,-1,,
apakah quota tambahan akan hangus jika FUP utama sudah reset?,-1,information,0.0
Apakah extra quota memiliki harga yang sama pada setiap layanan Biznet Home?,-1,information,0.0
langkah langkah lakukan bridge modem Biznet bagaimana?,0,information,0.0
"jika router external kami rusak, apakah dapat dibantu dari sisi Biznet?",0,information,0.0
apakah pergantian layanan menghanguskan sisa masa aktif?,-1,information,0.0
apakah dikenakan biaya tambahan jika ingin merubah layanan?,0,information,0.0
apakah pergantian layanan dan pembelian modem bisa di proses secara bersamaan?,0,information,0.0
Apakah pembelian modem akan menghanguskan sisa masa aktif?,0,information,0.0
"saya ingin membeli modem dengan layanan 1D, berapa biaya yang harus saya keluarkan?",0,information,0.0
apakah kita dapat masuk ke pengaturan modem pribadi?,0,information,0.0
"saya ingin mengganti password wifi secara mandiri, apakah dapat dilakukan?",-1,information,0.0
"saya tidak dapat akses website tertentu, dapat dibantu?",-1,,
"Saya tidak dapat akses youtube.com, apakah dapat dibantu?",-1,information,0.0
jika saya relokasi apakah dikenakan biaya?,0,information,0.0
Bagaimana cara setting smtp email menggunakan jaringan biznet,-1,information,0.0
"saya ingin pindah dari jakarta ke bali, apakah dapat dilakukan relokasi?",-1,information,0.0
Apakah saya perlu membwa modem ke lokasi baru jika ingin relokasi?,0,information,0.0
kenapa koneksi saya sering RTO ketika akses beberapa website?,0,information,0.0
"Jika saya ingin memindahkan modem dari lantai 1 ke lantai 2, apakah dikenakan biaya?",0,information,0.0
"saya ingin menambah router tamban untuk memperluas jaringan Biznet, apakah ada rekomendasi perangkat?",0,information,0.0
kenapa saya tidak bisa akses disney hotstar? keterangannya koneksi saya menggunakan vpn,-1,,
apakah *Deco M4 TP-Link Mesh* menggunakan kabel atau wireless?,-1,information,0.0
bagaimana cara saya mengetahui IP dari game di pc saya?,-1,information,0.0
apakah biznet Home meyediakan IP static?,-1,information,0.0
kenapa jaringan saya suka up down dalam beberapa hari terakhir?,-1,problem,2.0
"Saya ingin membuka warnet, layanan Biznet apa yang cocok untuk warnet?",-1,information,0.0
apakah untuk layanan 3D mendapatkan ip static?,-1,information,0.0
Bisa dibantu langkah untuk mengatur NAT pada playstation?,-1,,
bagaimana saya cek sisa kuota saya?,0,information,0.0
apakah layanan 0D dapat digunakan sampai dengan 10 perangkat?,-1,information,0.0
saya ingin mengaktifkan akun saya kembali namun saya terakhir melakukan pembayaran 2 bulan yang lalu. Apakah bisa di bantu?,-1,information,0.0
"saya tidak dapat akses game handphone melalui biznet home 1D, ada saran?",-1,,
saya ingin membeli modem apakah bisa di proses di hari ini?,0,information,0.0
"Saya ingin membayarkan tagihan melalui bank bsi, apakah bisa?",3,information,0.0
remote iptv saya rusak,0,information,0.0
Apakah IP akan terganti jika kita restart modem dengan layanan Bizne Home?,0,information,0.0
berapa biaya pergantian remote IPTV,0,information,0.0
"Saya ingin mengganti data pada akun layanan saya, bisa dibantu?",-1,,
berapa lama garansi modem biznet?,0,information,0.0
apakah biznet ada sistem kontrak untuk pemasangan baru?,0,information,0.0
bukti pembayaran saya belum terima,-1,,
Bagaimana cara saya merubah password wifi saya?,2,information,0.0
Berapa kapasitas bandwidth yang bisa di dapatkan jika saya menggunakan kabel LAN?,-1,information,0.0
saya mau cek quota saya,-1,,
bagaimana cara ubah jaringan saya dengan mode bridge,-1,information,0.0
internet saya tidak bisa di gunakan pada macbook saya,0,information,0.0
kenapa bandwidth saya tidak sesuai dengan paket yang saya ambil,-1,,
Kenapa saya tidak bisa menggunakan port 525,-1,,
bagaimana cara membatasi penggunaan koneksi di modem biznet,0,information,0.0
Bagaimana cara aktivasi akun MyBiznet?,0,information,0.0
Internet saya lambat bandwidthnya tidak sesuai,-1,problem,2.0
Bagaimana cara cek ping dan tracert,-1,information,0.0
bagaimana jika saya ingin melakukan penambahan layanan pemasangan di lokasi baru?,0,information,0.0
Saya mau melakukan perpanjangan wifi,-1,,
saya ingin tau promo yang berlaku,-1,,
Berapa nomor virtual account untuk melakukan pembayaran.,-1,information,0.0
Nomor virtual account BSI,-1,,
info masa tenggang,-1,,
cara perpanjang,-1,information,0.0
cara langganan iptv gimana,0,information,0.0
bisa combo sama home 0d ngga,-1,,
kalau dicombo sama 1d bisa?,-1,,
jadi total tagihan aku kalau sama IPTV berapa?,-1,information,0.0
lupa email login aplikasi,-1,,
Mau tanya kok tempat saya ssidnya hilang ya ?,-1,,
"sudah, tapi masih hilang",-1,,
parameter modem normal apa,-1,information,0.0
pon blinking,-1,,
mau downgrade,-1,,
"kalau downgrade sekarang, masa aktifku gimana?",-1,,
masa aktifku sampai kapan?,-1,information,0.0
berarti ngga bisa downgrade sekarang ya?,-1,,
paket yang lebih rendah dari yg kupakai sekarang ada apa aja?,0,information,0.0
ada kompensasi ngga kalau nanti ada kendala,-1,,
kalau mau minta invoice gimana,-1,,
kalau ngga bisa bayar lebih dari 45 hari gimana min,-1,,
kok ga bisa akses situs perbankan,3,information,0.0
min mau daftar untuk di  JL TLK LAMPUNG,-1,,
di lampung ada paket apa aja,0,information,0.0
biaya instalasi sama modem berapa?,0,information,0.0
ada promo apa aja untuk lampung,0,information,0.0
"cara pasang baru, di JL PULAU SULAWESI",-1,information,0.0
sulawesi ada paket apa aja,-1,information,0.0
kalau mau relokasi gimana,0,information,0.0
mau ubah status modem jadi buy min,-1,,
mau ikut promo,-1,,
cara login ke aplikasi gimana,-1,information,0.0
cara beli ekstra kuota gimana,0,information,0.0
itu kapan resetnya,-1,information,0.0
mau terminasi,-1,,
min sewa sama beli modem bedanya apa,0,information,0.0
min portnya keblokir,-1,,
tipe kabelnya apa min,-1,information,0.0
biznet jualan router ngga biar sinyal jauh,0,information,0.0
mau pindah modem cuman geser dikit gimana caranya,0,information,0.0
"min, TV ngga ada channel",-1,,
ada internet ngga bisa browsing,-1,,
min dns biznet apa,-1,information,0.0
ngga bisa kirim email pakai internet biznet,-1,,
username password pppoe aku apa,-1,information,0.0
mau setting modem sendiri gimana caranya,0,information,0.0
cara tau vlan id gimana min,-1,information,0.0
bisa nambah modem lagi min?,0,information,0.0
harga pasang baru di lokasi sama min,-1,,
ada paket apa aja min,0,information,0.0
Mau cek kuota dong,-1,,
Paket biznet,0,information,0.0
Cara login ke aplikasi genana ?,-1,information,0.0
Web biznet,4,information,0.0
Halo internet saya down bisa di bantu cek?,-1,problem,2.0
internet down sejak semalam,-1,problem,2.0
Kalo beli modem beraps,0,information,0.0
Min informasi paket yang bisa 10 device,-1,,
Cara download aplikasi my biznet dimana,-1,information,0.0
Saya ingin berlangganan namun bingung harus mulai darimana?,-1,,
Cara mengetahui alamat sudah tercover atau belum gimana?,-1,information,0.0
Jalan aster blok d5 no6 kelurahan sukatani kecamatan tapos kota depok kode pos 16454 apakah sudah tercover jaringan interner Biznet?,-1,information,0.0
Untuk proses selanjutnya jika alamat tempat tinggal saya sudah tercover jaringan Biznet seperti apa atau bagimana?,-1,information,0.0
jl. kerajinan 1 puri bunga amanah blok c/13 udah ke cover belum,-1,,
"Saya sudah membuka website Biznethome.net namun tidak menemukan menu pendaftaran, bisa dibantu?",-1,,
Min internet lambat,-1,problem,2.0
"Min internet dirumah indikator LOS nya merah, kenapa ya?",-1,,
Kalau internet lambat disebabkan apa min,-1,information,0.0
Perbedaan IP Biznet Home 0D sama Gamers 3D apa min,-1,information,0.0
Cara ganti nama akun gimana,0,information,0.0
"Kalau ganti nama akun, ada biaya nya engga?",-1,,
Pengen ganti paket 25 Mbps ada ga?,-1,,
harga biznet home 1 D berapa?,0,information,0.0
"Internet down, bagaimana ni?",-1,information,0.0
Cara ganti password secara mandiri gmna,-1,information,0.0
Min modem saya gak mau nyala,0,information,0.0
Biznet home ada batas pembayaran ga?,0,information,0.0
Internet down nih,-1,problem,2.0
internet down nih gemana ?,-1,problem,2.0
Min kalau modem rusak gimana ya?,0,information,0.0
Min saya bisa ga menonaktifkan layanannya dulu 2 bulan,-1,,
Jika sedang terjadi gangguan massal atau kendala area dari sisi Biznet apakah pelanggan akan dapat informasi terkait hal tersebut tanpa harus menanyakan?,-1,information,0.0
Biznet ada layanan free wifi di tempat umum ga?,-1,,
"Saya ingin menggunakan cctv, paket layanan biznet home apa yang cocok untuk penggunaan cctv?",0,information,0.0
Min Biznet ada perangkat buat memperluas jangkauan Wifi engga?,-1,,
Min layanan Biznet home bisa buat RT RW net engga?,-1,,
"Min saya dibatam, kena PPN 11% ga?",-1,,
Kapan sebaiknya saya melakukan perubahan paket layanan internet saya?,0,information,0.0
Min reset FUP tanggal berapa,-1,information,0.0
Saya ingin merubah skema penggunaan modem saya saat ini dari sewa menjadi beli apakah bisa?,0,information,0.0
Jika saya melakukan pembelian modem apakah biaya sewa yang selama ini dikenakan akan hilang? dan apa keuntungan yang pelanggan dapatkan dari melakukan pembelian modem?,0,information,0.0
Kalau berhenti berlangganan gimana caranya,0,information,0.0
Biaya relokasi berapa min?,0,information,0.0
Apakah ada garansi pergantian modem jika terjadi kerusakan jika saya baru melakukan pembelian modem?,0,information,0.0
Ada garansi untuk perangkat *TP-Link Deco M4 Smart Internet Mesh WiFi* setelah pembelian ga,-1,,
Berapa lama waktu yang dibutuhkan untuk melakukan pembelian modem?,0,information,0.0
"Jika saya tetap menggunakan modem dengan skema, dan terjadi kerusakan pada modem, apakah bisa dilakukan perbaikan atau pergantian untuk modemnya?",0,information,0.0
ada garansi untuk perangkat Set top Box untuk Biznet IPTV ga min,0,information,0.0
"Min tolong kirimkan teknisi kelokasi, modem saya LOS",-1,,
Min kalau pindahin perangkat ke sebelah rumah bayar ga?,-1,,
Min kirimin pricelist paket internet,-1,,
"Internet saya sangat lambat, apakah dapat dibantu dioptimalkan?",-1,information,0.0
Min di App MyBiznet bisa beli promo engga?,-1,,
"Min saya punya 2 perangkat dengan ID layanan yang berbeda, tapi ko di app MyBiznet cuma 1 yang terbaca",-1,,
Kenapa speed upload dan download jaringan internet biznet saya tidak simetris?,-1,,
Min kalau ganti paket tapi cuma 2 hari bisa engga?,-1,,
Untuk perubahan paket layanan membutuhkan waktu berapa lama?,-1,information,0.0
"Min saya sewa modem biznet, tapi pengen ganti modem baru bisa engga?",0,information,0.0
Apakah mybiznet sudah tersedia di playstore atau appstore?,-1,information,0.0
Bagaimana cara login ke MyBiznet apakah ada tutorial atau langkah langkahnya?,-1,information,0.0
"Saya ingin melakukan relokasi, namun untuk lokasi baru saya belum tercakup jaringan internet biznet, apa yang harus saya lakukan?",0,information,0.0
Min cara liat ID pembayaran dimana,-1,information,0.0
"Saya melakukan salah bayar tagihan hanya karena salah 1 digit saat memasukan nomor billing ID, apakah ada solusi?",-1,information,0.0
"Saya melakukan pembayaran tagihan internet Biznet namun nominal nya kelebihan, apakah pembayaran saya tetap di proses?",0,information,0.0
Cara memblokir pengguna wifi gimana,-1,information,0.0
Berapa harga perbulan untuk layanan IPTV dan apakah saya perlu melakukan pembelian alatnya?,0,information,0.0
Ada berapa channel yang tersedia pada layanan IPTV Biznet?,0,information,0.0
Min kalau saya pake perangkat modem temen saya bisa ga? sama sama biznet,0,information,0.0
"Halo, bagaimana cara berlangganan?",0,information,0.0
"iya saya memerlukan bantuan, boleh berbicara dengan live agent?",-1,,
halo,-1,,
"layanan saya Biznet 3D, saat akses game cukup lambat, namun akses youtube normal, ada solusinya ga?",-1,problem,2.0
Halo saya ingin menghubungi customer service,-1,,
apakah Deco M4 TP-Link Mesh bisa digunakan untuk bangunan bertingkat?,-1,information,0.0
saya mau topup,-1,,
saya mau renewal,-1,,
Customer Service,-1,,
Masa aktif saya brp?,-1,,
btn_chat_live_agent,-1,,
hubungi live agent,-1,,
mo beli extra quota,-1,,
itu (kuota FUP) kapan resetnya,-1,information,0.0
"min, ada beberapa channel TV yang ilang",-1,,
Apakah saya bisa datang langsung datang ke cabang Biznet terdekat dari lokasi saya untuk menanyakan terkait ingin melakukan pendaftaran jaringan internet Biznet dirumah saya?,0,information,0.0
Ada garansi untuk perangkat TP-Link Deco M4 Smart Internet Mesh WiFi setelah pembelian ga,-1,,
min kendala ke facebook berikut hasil tracert : Tracing route to facebook.com [31.13.95.35]\nover a maximum of 30 hops:\n\n  1     1 ms    <1 ms    <1 ms  192.168.240.1\n  2     1 ms     2 ms     1 ms  172.16.4.2\n  3     3 ms     5 ms     3 ms  202.169.33.1\n  4     3 ms     3 ms     3 ms  182.253.255.90\n  5     3 ms     6 ms     3 ms  ae0.pr03.cgk1.tfbnw.net [157.240.86.242]\n  6     2 ms     2 ms     2 ms  po203.asw02.cgk1.tfbnw.net [129.134.39.48]\n  7     2 ms     2 ms     3 ms  psw01.cgk1.tfbnw.net [129.134.58.47]\n  8     2 ms     2 ms     2 ms  msw1ag.02.cgk1.tfbnw.net [129.134.91.183]\n  9     2 ms     2 ms     2 ms  edge-star-mini-shv-02-cgk1.facebook.com [31.13.95.35],-1,,
"ow gitu coy, kalo masih lambat gimana",-1,problem,2.0
Internet saya down bisa di cek?,-1,problem,2.0
apakah jika modem rusak bisa diganti dengan yang baru?,0,information,0.0
apakah bisa request untuk pembayaran setiap ditanggal tertentu?,0,information,0.0
bagimana prosedur berhenti berlangganan IPTV?,0,information,0.0
bagimana cara add on extra kouta?,-1,information,0.0
channel tv yang tersedia dibiznet apa saja?,0,information,0.0
apakah jaringan biznet bisa dikomersilkan?,0,information,0.0
Apakah ada diskon untuk pembelian modem?,0,information,0.0
cara request perapihan kabel,-1,information,0.0
Estimasi kedatangan teknisi,-1,,
jika modem saya rusak apa indikasinya?,0,information,0.0
Internet di lokasi lama buat main mobile legends,-1,,
apakah akun kompliment jika ingin relokasi dikenakan biaya?,0,information,0.0
layanan IPTV dapat channel apa saja?,0,information,0.0
jika saya ingn tambah mikrotik apakah bisa?,0,information,0.0
sebagai router tambahan,-1,,
saya ingin ubah layanan apakah bisa dibantu,-1,information,0.0
bagaimana cara optimalkan jaringan secara mandiri?,-1,information,0.0
bagaimana jika saya putus jaringan sebelum masa kontrak?,0,information,0.0
bagaimana saya tahu wifi saya diretas orang lain?,-1,information,0.0
apakah modem biznet support 6G?,-1,information,0.0
apakah jika saya pindah ke malaysia jaringan Biznet saya bisa ikut dipindah?,0,information,0.0
apakah biznet ada paket yang harganya 150.000?,-1,information,0.0
apakah saya bisa ubah nomor telepon?,-1,information,0.0
apakah ada promo perpanjangan layanan?,0,information,0.0
jika saya ingin daftar biznet untuk kosan baiknya menggunakan layanan yang mana?,-1,,
Apakah layanan metronet bisa untuk rumahan?,-1,information,0.0
saya butuh layanan dengan IP yang tidak berubah ubah,-1,,
jika saya pakai paket gamers apakah IP yang saya dapat akan berubah ubah?,-1,information,0.0
kalau saya pakai IP Public Dynamic akan terreset per kapan?,-1,information,0.0
"jika saya tidak bayar bulanan selama 1 bulan, apakah akunnya masih bisa dilanjutkan?",0,information,0.0
jika kabel modem saya putus karna digigit tikus apakah perbaikannya akan berbayar?,0,information,0.0
apakah biznet ada kompensasi jika internet saya mati berhari2?,0,information,0.0
kenapa jaringan saya bermasalah akhir akhir ini?,-1,,
apakah boleh saya reset modemnya?,-1,information,0.0
internet saya lambat sekali kalau akses ke google.com,-1,problem,2.0
kenapa lan saya tidak terhubung ke port 1 modem?,0,information,0.0
apakah biznet bisa blok 1 web?,0,information,0.0
apakah teknisi biznet bisa setting router tambahan saya?,0,information,0.0
apakah biznet menyewakan stb?,-1,information,0.0
cabang biznet area jaksel,-1,,
i want to buy extra quota,-1,,
promo ada ?,0,information,0.0
8+4 gaada min?,-1,,
kira kira 8+4 kapan tersedia nya ya?,-1,information,0.0
mau promo 2+1,-1,,
Internet down min,-1,problem,2.0
Internet terputus min,-1,,
mo relokasi,-1,,
mo ganti paket,0,information,0.0
saya mau beli quota,-1,,
i want to buy quota,-1,,
Inet down,-1,problem,2.0
kendala lambat,-1,problem,2.0
bisa informasikan untuk pengajuan sponsorship ke Biznet?,-1,,
berapa harga pemasangan awal untuk layanan biznet home internet 1d untuk wilayah depok,0,information,0.0
i want to buy promo,-1,,
total setelah ppn dan beli modem,-1,,
Kapan untuk perluasan cakupan area Biznet yang saat ini belum tercover?,-1,information,0.0
i want to relocation,-1,,
saya mau relokasi,-1,,
Bisa informasikan bandwidth yang didapatkan apabila berlangganan Home Internet 1D?,-1,,
Boleh tanya min?,-1,,
Ciri ciri tiang biznet warna apa soalnya ada tiang miring dijalanan?,-1,information,0.0
Harga paket 0D berapa?,0,information,0.0
aKlau remote IPTV rusak order kembali biayanya berapa?,0,information,0.0
Kalo harga paket 1D berapa?,0,information,0.0
Cara cek nomor SN biznet dimana?,-1,information,0.0
Beli promo,-1,,
Kalo harga paket 2D berapa?,0,information,0.0
Biznet apakah bisa berlangganan untuk lokasi high rise?,-1,information,0.0
"Sebutkan akun sosisal media layanan Biznet seperti x, facebook  dan instagram?",-1,,
Kalo harga paket gamers 3D berapa?,0,information,0.0
Apakah biznet home sudah menggunakan kabel fiber optic?,-1,information,0.0
PPN nya berapa persen min?,-1,information,0.0
Dimana lokasi store branch biznet cimandala bogor?,-1,,
Ada FUP ga min?,-1,,
Estimasi kendala internet down untuk kunjungan berapa lama?,-1,information,0.0
Apakah Biznet menjual perangkat router tambahan untuk support jangakuan koneksinya?,-1,information,0.0
"Kalo mau pasang, apakah ada biaya pasang min?",-1,information,0.0
Ada FUP ga?,-1,,
Mau relokasi,-1,,
Harga paket 0D berapa min?,0,information,0.0
kalo harga paket 1D berapa min?,0,information,0.0
kalo harga paket 2D berapa min?,0,information,0.0
"kalo untuk main game, cocoknya paket apa ya min?",-1,information,0.0
Bukannya ada paket gamers ya min?,-1,,
Kuota itu FUP ya min?,-1,,
Sebutkan alasan kenapa saya harus pakai layanan Biznet?,0,information,0.0
Apakah biznet menyediakan wifi portable?,-1,information,0.0
"min, ciri ciri tiang biznet gimana?",-1,,
Kira kira kalau Biznet maintenance apakah customer mendapatkan notifikasinya?,-1,information,0.0
Kalau Saya mendapatkan Ping tinggi karena lambat apakah bisa dilakukan visit langsung?,-1,information,0.0
untuk daerah Sulawesi sudah ada layanan Biznet belum min?,-1,,
Bisa informasikan bandwidth yang diterima Home Internet 1D?,-1,,
Paket apa yang tersedia untuk daerah sulawesi min?,-1,information,0.0
Berikan alasan keapa kunjungan visit saya melebihi estimasi 1x24 jam atas kendala internet down?,0,information,0.0
Sebutkan nama merk modem Biznet?,0,information,0.0
Untuk daerah papua sudah ada layanan Biznet belum min?,-1,,
Nomor customer service Biznet berapa min? saya mau telpon,-1,information,0.0
Apakah kabel indihome lama bisa di pakai untuk kabel internet?,-1,information,0.0
koneksi agak anu ni,-1,,
sudah restart masih lambat,-1,problem,2.0
Untuk layanan Home apakah FUP atau unlimited?,-1,information,0.0
Bisa informasikan dikenakan  berapa pajak pada layanan Biznet?,0,information,0.0
Bisa informasikan store Biznet atau Branch terdekat dari bandara soekarno hatta?,-1,,
Apakah Harga layanan Biznet berubah-ubah?,-1,information,0.0
Bagaimana langkah-langkah saya untuk konfirgurasi modem secara mandiri?,-1,information,0.0
untuk area jakarta ada gamers 3dw?,-1,,
Bisa informasikan cara berlangganan?,-1,information,0.0
Apakah bisa downgrade layanan dari Biznet Metronet ke Biznet Home?,0,information,0.0
Mau mengadukan layanan.,-1,,
Internet lambat banget,-1,problem,2.0
ada promo,0,information,0.0
cek quota,-1,,
internet lambat,-1,problem,2.0
Hi daerah rumah saya sudah tercover?,-1,,
halo internet saya down sejak semalam,-1,problem,2.0
paket 1D berpa ?,0,information,0.0
biaya pasang baru berapa?,0,information,0.0
Biaya relokasi biznet home?,0,information,0.0
merk kabel lan yang bagus,-1,,
promo 2d home modem buy berapa?,-1,information,0.0
paket 1D,0,information,0.0
harga paket 1d,0,information,0.0
harga pasang baru,-1,,
cara berhenti berlangganan,0,information,0.0
ingin ikut promo 1D modem rent,-1,,
harga modem,0,information,0.0
cara berlangganan,0,information,0.0
apakah ada denda berlangganan?,0,information,0.0
Terkait permintaan pengajuan sponsopship,-1,,
Kenapa layanan IPTV untuk channel HBO tidak ada?,0,information,0.0
tanggal berapa biasanya akan terdebet untuk kartu kredit yang terdaftar di biznet?,-1,information,0.0
Paket gamers,-1,,
Harga paket gamers biznet,-1,,
tanggal berapa biasanya dilakukan pembayaran auto debet untuk kartu kredit yang terdaftar di Biznet?,-1,information,0.0
Berapa jenis paket gamers biznet?,-1,information,0.0
bisa dicek ID pelanggan ini 1000? LOS merah menyala,-1,,
Apakah akan dikenakan biaya tambahan jika alamat instalasi menggunakan jalur kabel bawah tanah?,0,information,0.0
Mo beli quota,-1,,
internet cepat,-1,,
Hi kalo ingin ikut promo 3+1 gmn cara nya?,-1,information,0.0
putus sambung,-1,problem,2.0
promo bhi 1d,-1,,
Lemot ini,-1,,
daftar biznet hom e,-1,,
daftar biznet home,4,information,0.0
udah restart msh lemot,-1,,
Apakah saya bisa bekerja di Biznet,0,information,0.0
"Terima kasih, apakah kamu tahu Biznet didirikan oleh siapa?",-1,information,0.0
Cakupan bojong gede,-1,,
Internet saya ga gacor nih lambat mulu,-1,problem,2.0
ganti paket,0,information,0.0
Cara pendaftaran,-1,information,0.0
mohon info paket apa saja,-1,information,0.0
Lambat,-1,problem,2.0
Sudah dilakukan semua tapi masih lambat,-1,problem,2.0
Ada kendala di lokasi saya apa tidak ya,-1,information,0.0
Internet Saya Down loss merah,-1,problem,2.0
tapi saya di area Bekasi,-1,,
Cek harga layanan Biznet,-1,,
batalkan ganti paket,-1,,
saya mau tanya harga bulanan,-1,,
berapa harga bulanan paket saya,0,information,0.0
saya ingin pasang baru alkun tambahan,0,information,0.0
apakah bisa?,0,information,0.0
"di jalan kota mas, di jalan utama ciawi cianjur",-1,,
internet lemot,-1,,
masa aktif,-1,,
kuota saya saat ini,-1,,
saya mau tau harga paket saya,-1,,
sudah tapi masih lambat,-1,problem,2.0
apakah berarti paket saya gratis?,-1,information,0.0
apakah saya bisa menggunakan promo untuk paket saya?,0,information,0.0
kalau hanya punya 4 perangkat tp koneksi saya RTO terus ke arah facebook.com kira2 kenapa ya ?,-1,,
"ok, apakah saya sebaiknya ganti ISP saja?",0,information,0.0
ok pakte apa yang kamu sarankan?,-1,information,0.0
berapa bandwidth paket yang saya gunakan?,-1,information,0.0
"kalau saya ingin ganti paket, paket mana saja yang bsia saya gunakan",-1,,
harga paling murah berapa?,-1,information,0.0
Cek FUP,-1,,
top up fup,-1,,
Perubahan layanan,-1,,
Cek jaringan,-1,,
Status koneksi saya,-1,,
Harga modem berapa ?,0,information,0.0
Jenis paket layanan biznet home,0,information,0.0
harga promo biznet ada?,0,information,0.0
Owh oje kalok di tambah router bisa gak ?,0,information,0.0
Tambah router mesh wifi,-1,,
cara pilih nya gimana,0,information,0.0
Mau pesen lewat cs dong,-1,,
kalau mau beli promo 3+1 gimaa caranya,0,information,0.0
Oke saya sekarang mau beli promo,-1,,
Thank you kalok saya mau ganti paket bisa ?,-1,,
Lsyanan saya expired kapan ?,-1,information,0.0
Ciri tiang biznet apa ya ?,-1,information,0.0
Kalok mau bayar bisa lewat mana ?,-1,,
Berapa nomer va saya?,-1,information,0.0
Ada paket untuk main game gak ?,-1,,
Ada promo apa aja ya,0,information,0.0
Kalo pengen 3+1 gmn,-1,,
Kalo promo 6+2,-1,,
Nanya promo,-1,,
Untuk coverage area di lenteng agung jakarta selatan ada ngga,-1,,
Kalo beli ekstra kuota gmn,-1,,
Untuk paket apa aja ?,0,information,0.0
Klo kuota abis bagaimana ?,0,information,0.0
Untuk password apps nya apa ?,-1,information,0.0
Kalo change package gmn min,-1,,
Saya lupa passwordnya,-1,,
Pake password default salah,-1,,
Cukup min bisa di akhiri chat nya,-1,,
saya mau tanya perihal layanan,-1,,
Untuk koneksi agak intermitten y,-1,,
Dan aplikasi wifi analyzernya apa ?,-1,information,0.0
Ini gimana caranya,0,information,0.0
Kita udah install analyzer aman ngga ada masalah,-1,,
Channel juga sudah dirubah,-1,,
Cara liat jumlah penggunanya gimana,0,information,0.0
Username dan pass adminnya apa ?,-1,information,0.0
Cek coverage,-1,,
Cek  overage,-1,,
Cara mengganti paket gimana,0,information,0.0
Saya mau pasang di banten bis acek coveratge ?,-1,,
saya mau tanya untuk caranya gimana?,0,information,0.0
Paket apa saja pilhannya ?,0,information,0.0
Terus klaok dinpekan baru bisa oakek paket apa ?,0,information,0.0
"Di modem saya ada los merah nih, harus ngapain ya?",0,information,0.0
Paket apa aja yg tersedia ?,0,information,0.0
Pasang baru berapa?,0,information,0.0
Cara mengajukan pergantian modem bagaimana?,0,information,0.0
Masalah teknis,-1,,
Estimasi kunjungan teknisi biasanya kapan?,-1,information,0.0
Estimasi relokasi biasaya berapa hari?,-1,information,0.0
internet saya lambat cuma dapet 10mbps,-1,problem,2.0
Saya mau cek promo yang tersedia hari ini layanan Biznet Home.,-1,,
Apakah harga layanan Biznet Home flat?,0,information,0.0
cara melakukan ping dan tracert itu bagaimana?,-1,information,0.0
Apakah Biznet buka lowongan untuk magang?,-1,information,0.0
Bisa dibantu ping ke google.com?,-1,,
"Saya gapunya laptop, bisa tolong ping ke google.com?",-1,,
"Layanan internet saya lambat, boleh diinformasikan penyebab dan solusinya?",0,information,0.0
